Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
NESHOBA COUNTY GENERAL HOSPITAL,PHILADELPHIA,MS,(601) 663-1200,Acute Care Hospitals,Government - Local,Yes,2,Below the national average,Not Available,Same as the national average,Not Available,Same as the national average
BAPTIST MEMORIAL HOSPITAL BOONEVILLE,BOONEVILLE,MS,(662) 720-5000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average
ST DOMINIC-JACKSON MEMORIAL HOSPITAL,JACKSON,MS,(601) 200-2000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average
BEACHAM MEMORIAL HOSPITAL,MAGNOLIA,MS,(601) 783-2353,Acute Care Hospitals,Proprietary,No,Not Available,Same as the national average,Not Available,Above the national average,Not Available,Not Available
OCH REGIONAL MEDICAL CENTER,STARKVILLE,MS,(662) 323-4320,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,BROOKHAVEN,MS,(601) 833-6011,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
SOUTH CENTRAL REG MED CTR,LAUREL,MS,(601) 426-4000,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
JEFFERSON COUNTY HOSPITAL,FAYETTE,MS,(601) 786-3401,Acute Care Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
YALOBUSHA GENERAL HOSPITAL,WATER VALLEY,MS,(662) 473-1411,Acute Care Hospitals,Government - Local,No,3,Same as the national average,Not Available,Below the national average,Same as the national average,Not Available
CLAY COUNTY MEDICAL CORPORATION,WEST POINT,MS,(662) 495-2300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
RUSH FOUNDATION HOSPITAL,MERIDIAN,MS,(601) 483-0011,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average
MERIT HEALTH CENTRAL,JACKSON,MS,(601) 376-1000,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
WAYNE GENERAL HOSPITAL,WAYNESBORO,MS,(601) 735-5151,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
FORREST GENERAL HOSPITAL,HATTIESBURG,MS,(601) 288-7000,Acute Care Hospitals,Government - Local,Yes,1,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average
ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,MERIDIAN,MS,(601) 484-3590,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
DELTA REGIONAL MEDICAL CENTER,GREENVILLE,MS,(662) 378-3783,Acute Care Hospitals,Government - Local,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
MERIT HEALTH NATCHEZ,NATCHEZ,MS,(601) 443-2100,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
MARION GENERAL HOSPITAL,COLUMBIA,MS,(601) 736-6303,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average
BOLIVAR MEDICAL CENTER,CLEVELAND,MS,(662) 846-0061,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
MERIT HEALTH WESLEY,HATTIESBURG,MS,(601) 268-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
SOUTH SUNFLOWER COUNTY HOSPITAL,INDIANOLA,MS,(662) 887-5235,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average
CROSSGATES RIVER OAKS HOSPITAL,BRANDON,MS,(601) 825-2811,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
SOUTHWEST MS REGIONAL MEDICAL CENTER,MCCOMB,MS,(601) 249-5500,Acute Care Hospitals,Government - Local,Yes,1,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average
GREENWOOD LEFLORE HOSPITAL,GREENWOOD,MS,(662) 459-7561,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
BAPTIST MEMORIAL HOSPITAL GOLDEN TRIANGLE INC,COLUMBUS,MS,(662) 244-1500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average
MISSISSIPPI BAPTIST MEDICAL CENTER,JACKSON,MS,(601) 968-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average
ANDERSON REGIONAL MEDICAL CTR,MERIDIAN,MS,(601) 553-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
HIGHLAND COMMUNITY  HOSPITAL,PICAYUNE,MS,(601) 358-9400,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
GARDEN PARK MEDICAL CENTER,GULFPORT,MS,(228) 575-7000,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
MAGEE GENERAL HOSPITAL,MAGEE,MS,(601) 849-5070,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Below the national average
CHOCTAW HEALTH CENTER,PHILADELPHIA,MS,(601) 656-2211,Acute Care Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PANOLA MEDICAL CENTER,BATESVILLE,MS,(662) 563-5611,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
WHITFIELD MEDICAL SURGICAL HOSPITAL,WHITFIELD,MS,(601) 351-8023,Acute Care Hospitals,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MERIT HEALTH WOMEN'S HOSPITAL,FLOWOOD,MS,(601) 932-1000,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available
MERIT HEALTH RIVER OAKS,FLOWOOD,MS,(601) 932-1030,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
BAPTIST MEMORIAL HOSPITAL DESOTO,SOUTHAVEN,MS,(662) 772-4000,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
ALLIANCE HEALTH CENTER,MERIDIAN,MS,(601) 483-6211,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MISSISSIPPI METHODIST REHAB CTR,JACKSON,MS,(601) 981-2611,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OCHSNER MEDICAL CENTER-HANCOCK,BAY SAINT LOUIS,MS,(228) 467-8600,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average
PATIENTS CHOICE MEDICAL CENTER OF SMITH COUNTY,RALEIGH,MS,(601) 782-9997,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,OLIVE BRANCH,MS,(662) 932-9000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,GRENADA,MS,(662) 227-7000,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
81st Medical Group (Keesler AFB),Biloxi,MS,(228) 377-6393,Acute Care - Department of Defense,Department of Defense,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
S E LACKEY MEMORIAL HOSPITAL,FOREST,MS,(601) 469-4151,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
MONROE REGIONAL HOSPITAL,ABERDEEN,MS,(662) 369-2455,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
TALLAHATCHIE CRITICAL ACCESS HOSPITAL,CHARLESTON,MS,(662) 647-5535,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
LAWRENCE COUNTY HOSPITAL CAH,MONTICELLO,MS,(601) 587-4051,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
PERRY COUNTY GENERAL HOSP,RICHTON,MS,(601) 788-6316,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NOXUBEE GENERAL CRITICAL ACCESS HOSP,MACON,MS,(662) 726-4231,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PONTOTOC HEALTH SERVICE INC CAH,PONTOTOC,MS,(662) 489-5510,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Above the national average,Not Available,Not Available
FIELD HEALTH SYSTEM,CENTREVILLE,MS,(601) 890-0500,Critical Access Hospitals,Government - Local,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average
TYLER HOLMES MEMORIAL HOSPITAL CAH,WINONA,MS,(662) 283-4114,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
BAPTIST MEDICAL CENTER-YAZOO,YAZOO CITY,MS,(662) 746-2261,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
QUITMAN COUNTY HOSPITAL CAH,MARKS,MS,(662) 326-8031,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BAPTIST MEDICAL CENTER-LEAKE,CARTHAGE,MS,(601) 267-1422,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Above the national average,Not Available,Not Available
H C WATKINS MEMORIAL HOSPITAL INC,QUITMAN,MS,(601) 776-6925,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
SIMPSON GENERAL HOSPITAL CAH,MENDENHALL,MS,(601) 847-2221,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
NORTH SUNFLOWER MEDICAL CENTER CAH,RULEVILLE,MS,(662) 756-2711,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
HOLMES COUNTY HOSPITAL AND CLINICS,LEXINGTON,MS,(662) 834-1321,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
CLAIBORNE COUNTY HOSPITAL,PORT GIBSON,MS,(601) 437-5141,Critical Access Hospitals,Government - Local,No,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
LAIRD HOSPITAL INC,UNION,MS,(601) 774-8214,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Not Available
SCOTT REGIONAL HOSPITAL CAH,MORTON,MS,(601) 732-6301,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Above the national average,Not Available,Not Available
WALTHALL COUNTY GENERAL HOSPITAL CAH,TYLERTOWN,MS,(601) 876-2122,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
COVINGTON COUNTY HOSPITAL CAH,COLLINS,MS,(601) 765-6711,Critical Access Hospitals,Government - Local,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Not Available
JEFFERSON DAVIS GENERAL HOSPITAL,PRENTISS,MS,(601) 792-4276,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
